site_id,lat,lon,capacity_mw,c_stab,pearsons,rep_year
9019500,40.14771527,-105.8658793,3.595211432,,,
7069220,36.46667,-91.53,1.118117914,,,
8328950,35.39471361,-106.5475309,1.344764608,,,
3020000,41.4750376,-79.44546419,5.893181321,-1.9796835,0.069858959,2019
3592000,34.39866661,-87.98793911,2.176294183,0.21387018,0.1731597,2018
7227000,35.34394228,-103.4448062,13.74559184,,,
8063800,32.25014342,-96.64707736,1.95246781,,,
6670500,42.17066253,-104.6973797,3.802675047,0.28030097,-0.036306575,2019
1184000,41.988617,-72.60346926,29.26385634,0.22520931,0.060007788,2010
1374701,41.35790294,-73.66544033,1.246366475,,,
3400800,36.75166341,-83.25657005,1.216025416,0.22658753,0.11709909,2015
1342602,43.10639,-75.20834,1.214555046,0.055516183,0.099333295,2018
9419800,36.12065721,-114.9102765,2.291057443,0.40063092,0.03639225,2014
1381000,40.89590634,-74.3981726,2.698287215,,,
3282060,37.60163041,-83.83265398,12.18140454,0.10056564,0.031205442,2013
1091500,43.09355473,-71.65996233,1.194996054,0.24616745,0.114470018,2018
3282290,37.78452214,-84.10328751,14.09742525,0.07993382,0.083596338,2014
8047000,32.65073255,-97.44840009,5.329573062,,,
1315000,43.75577387,-74.275498,1.14797863,0.3973221,-0.029164143,2010
4108660,42.46480853,-85.74945551,2.499793464,0.64554006,0.01947173,2014
3284500,37.74576434,-84.58728285,20.11715944,0.01573718,0.120683771,2012
3284230,37.84321867,-84.44046271,17.94639204,-0.46675262,0.105142929,2014
8028000,31.09381882,-93.38931823,1.930988458,,,
1544000,41.40856114,-78.01935312,2.388784845,,,
3225500,40.3587684,-83.06903945,3.226290442,,,
3321500,37.85831301,-87.41062104,14.75826889,0.11136702,0.13256985,2015
3287250,38.05201874,-84.83054111,20.95946263,0.09472255,-0.003919136,2013
4235600,43.059751,-76.83772739,13.27753882,-0.6794139,-0.007308783,2014
9239500,40.36465014,-106.8002453,2.55501223,,,
2469761,31.75747968,-88.12944571,241.7081373,0.15829735,0.104138893,2014
2466030,32.77891215,-87.84084137,50.95915164,,,
10344500,39.39009,-120.0955,1.57437754,0.49108177,0.144219764,2014
2243960,29.50861709,-81.80572505,27.65894261,0.59467465,-0.052362558,2010
9512165,33.5157,-111.6916,4.621098822,,,
4192500,41.2911004,-84.28098805,4.995513743,,,
5018000,48.8521,-113.4159,3.053605495,0.27031082,-0.237714992,2018
1123600,42.08194533,-72.05919147,1.637485602,0.09212999,0.047370329,2013
6227600,43.22564573,-108.9547186,1.055609952,,,
1375000,41.2254384,-73.8544174,2.76819512,,,
4182900,41.0825814,-85.11589578,1.210706787,,,
2467000,32.52065708,-87.87883184,237.5595802,0.13865751,0.217805847,2019
3284000,37.89473687,-84.26135825,18.68265838,,,
3287000,37.92672034,-84.82159285,18.59962456,0.087060064,-0.006150197,2013
3282120,37.67724554,-83.94808865,12.22504516,0.09559074,0.074514494,2014
1354500,42.87811653,-74.04201653,11.28043548,0.095089,0.052284791,2014
3090500,41.04614954,-81.00249105,3.518909065,-33.878304,-0.059292186,2014
3150000,39.73262061,-81.90871632,12.73354796,0.18438216,0.033077559,2013
8096500,31.55104682,-97.09760883,19.05855722,,,
5454500,41.65791354,-91.5409205,1.868686642,0.06492459,-0.018550451,2013
5464000,42.49733447,-92.3384531,1.491532227,,,
1520000,41.9839364,-77.15159512,1.781581045,,,
3058000,39.00326341,-80.47429765,2.715215128,,,
14155500,43.78679293,-122.9547658,9.715279144,0.377352,0.097050933,2011
1328770,43.18833,-73.58334,9.550007097,-0.08864004,0.192481042,2018
8055000,32.97269942,-97.05703303,4.042301446,,,
7263012,34.95197915,-93.16036063,10.65270355,0.095795326,-0.006544084,2011
2238500,29.08005449,-81.88188185,7.572617044,,,
3086000,40.50333787,-80.08930625,84.41465297,0.22323215,0.052906105,2013
8401500,32.54783,-104.3781,10.62131837,0.32785186,-0.039295692,2018
8403500,32.49074942,-104.2521162,1.848078008,0.32873315,0.018912485,2010
2105500,34.83539581,-78.82302352,12.44594227,0.25892723,-0.0213406,2013
11476500,40.067,-123.8,4.962875776,,,
4180500,41.1995482,-85.02077745,1.251803026,,,
14170000,44.12005533,-123.3021609,5.056782002,0.24680948,0.183428894,2011
14162200,44.1711628,-122.3276174,4.981926823,0.38049775,0.075140706,2011
6017000,45.13004,-112.7406,1.240145393,-0.45654297,0.343456703,2019
2304500,28.02462416,-82.42840625,5.120129095,0.17371616,-0.196663908,2012
9429000,33.73190075,-114.5118585,54.25971352,0.73738486,0.013643386,2016
6875900,39.47786641,-98.31482202,1.89257388,0.15782887,-0.040829574,2016
3049500,40.6135564,-79.71762305,34.04946682,-0.3715752,0.076306421,2013
1541200,40.95209,-78.52301839,3.290348929,0.16631533,0.145383521,2017
1166500,42.6325426,-72.1229774,1.875712361,-0.07654091,0.138952233,2019
3082500,39.99572574,-79.59445079,2.642440552,,,
4247000,43.27057007,-76.20613219,2.460800043,0.26267242,0.078523191,2014
2465000,33.20871222,-87.59254284,53.83912747,,,
3249500,38.11760167,-83.53235945,12.64755252,0.79212147,,2010
1188090,41.79868627,-72.93143393,4.647284818,0.1476456,0.064294589,2014
2105769,34.40473468,-78.29330392,16.5707735,0.17519484,-0.014024881,2013
9041400,40.1130698,-106.4142179,5.701006549,,,
9426000,34.23286575,-113.6013129,3.812167813,0.23458618,-0.079320882,2012
5463050,42.53940853,-92.44878063,2.324203538,-5.1390877,0.149357235,2017
